Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
SRFA2 21 T,253.1233,C17H18O2,253.123403,0.4084,
SRFA2 21 T,253.14442,C14H22O4,253.144533,0.4454,
SRFA2 21 T,254.9934,C13H4O6,254.993511,0.4369,
SRFA2 21 T,255.01453,C10H8O8,255.014641,0.4344,
SRFA2 21 T,255.02979,C14H8O5,255.029897,0.4192,
SRFA2 21 T,255.05091,C11H12O7,255.051026,0.4559,
SRFA2 21 T,255.06617,C15H12O4,255.066282,0.4408,
SRFA2 21 T,255.0873,C12H16O6,255.087412,0.4383,
SRFA2 21 T,255.10256,C16H16O3,255.102668,0.4231,
SRFA2 21 T,255.12369,C13H20O5,255.123797,0.4206,
SRFA2 21 T,255.13894,C17H20O2,255.139053,0.4446,
SRFA2 21 T,255.16007,C14H24O4,255.160183,0.4421,
SRFA2 21 T,257.00905,C13H6O6,257.009161,0.4337,
SRFA2 21 T,257.03018,C10H10O8,257.030291,0.4313,
SRFA2 21 T,257.04544,C14H10O5,257.045547,0.4162,
SRFA2 21 T,257.06656,C11H14O7,257.066676,0.4526,
SRFA2 21 T,257.08182,C15H14O4,257.081932,0.4375,
SRFA2 21 T,257.10295,C12H18O6,257.103062,0.4351,
SRFA2 21 T,257.11821,C16H18O3,257.118318,0.42,
SRFA2 21 T,257.1546,C17H22O2,257.154703,0.4025,
SRFA2 21 T,258.9883,C12H4O7,258.988426,0.4866,
SRFA2 21 T,259.0247,C13H8O6,259.024812,0.4306,
SRFA2 21 T,259.04583,C10H12O8,259.045941,0.4281,
SRFA2 21 T,259.06109,C14H12O5,259.061197,0.4132,
SRFA2 21 T,259.08222,C11H16O7,259.082326,0.4107,
SRFA2 21 T,259.09747,C15H16O4,259.097583,0.4344,
SRFA2 21 T,259.13385,C16H20O3,259.133968,0.4556,
SRFA2 21 T,259.17022,C17H24O2,259.170354,0.5153,
SRFA2 21 T,260.05636,C13H11NO5,260.056446,0.3308,
SRFA2 21 T,261.00396,C12H6O7,261.004076,0.4448,
SRFA2 21 T,261.04035,C13H10O6,261.040462,0.4275,
SRFA2 21 T,261.0556,C17H10O3,261.055718,0.451,
SRFA2 21 T,261.06148,C10H14O8,261.061591,0.4251,
SRFA2 21 T,261.07673,C14H14O5,261.076847,0.4486,
SRFA2 21 T,261.11312,C15H18O4,261.113233,0.4313,
SRFA2 21 T,261.1495,C16H22O3,261.149618,0.4523,
SRFA2 21 T,262.03561,C12H9NO6,262.035711,0.3838,
SRFA2 21 T,262.07197,C13H13NO5,262.072096,0.4811,
SRFA2 21 T,262.98322,C11H4O8,262.983341,0.4588,
SRFA2 21 T,263.01961,C12H8O7,263.019726,0.4416,
SRFA2 21 T,263.03487,C16H8O4,263.034982,0.4269,
SRFA2 21 T,263.056,C13H12O6,263.056112,0.4245,
SRFA2 21 T,263.07125,C17H12O3,263.071368,0.4478,
SRFA2 21 T,263.09238,C14H16O5,263.092497,0.4454,
SRFA2 21 T,263.12877,C15H20O4,263.128883,0.4282,
SRFA2 21 T,263.16515,C16H24O3,263.165268,0.4491,
SRFA2 21 T,264.99887,C11H6O8,264.998991,0.4555,
SRFA2 21 T,265.01414,C15H6O5,265.014247,0.4032,
SRFA2 21 T,265.03526,C12H10O7,265.035376,0.4385,
SRFA2 21 T,265.05051,C16H10O4,265.050632,0.4616,
SRFA2 21 T,265.07164,C13H14O6,265.071762,0.4592,
SRFA2 21 T,265.0869,C17H14O3,265.087018,0.4446,
SRFA2 21 T,265.10803,C14H18O5,265.108147,0.4422,
SRFA2 21 T,265.1233,C18H18O2,265.123403,0.3899,
SRFA2 21 T,265.14442,C15H22O4,265.144533,0.4252,
SRFA2 21 T,266.06689,C12H13NO6,266.067011,0.4537,
SRFA2 21 T,267.01453,C11H8O8,267.014641,0.4149,
SRFA2 21 T,267.02978,C15H8O5,267.029897,0.4378,
SRFA2 21 T,267.05091,C12H12O7,267.051026,0.4355,
SRFA2 21 T,267.06617,C16H12O4,267.066282,0.4209,
SRFA2 21 T,267.0873,C13H16O6,267.087412,0.4186,
SRFA2 21 T,267.10255,C17H16O3,267.102668,0.4415,
SRFA2 21 T,267.12368,C14H20O5,267.123797,0.4391,
SRFA2 21 T,267.13894,C18H20O2,267.139053,0.4246,
SRFA2 21 T,267.16007,C15H24O4,267.160183,0.4222,
SRFA2 21 T,268.04616,C11H11NO7,268.046275,0.43,
SRFA2 21 T,268.9938,C10H6O9,268.993905,0.3916,
SRFA2 21 T,269.00904,C14H6O6,269.009161,0.4516,
SRFA2 21 T,269.03017,C11H10O8,269.030291,0.4492,
