Origin,m/z exp.,Chem. Formula,m/z calc.,m/z error (ppm),Ion type
HR-5 21 T,218.082256,C12H13NO3,218.082267,-0.05,[M-H]-
HR-5 21 T,219.029896,C11H8O5,219.029897,-0.0025,[M-H]-
HR-5 21 T,219.066276,C12H12O4,219.066282,-0.0276,[M-H]-
HR-5 21 T,219.102666,C13H16O3,219.102668,-0.007,[M-H]-
HR-5 21 T,219.139056,C14H20O2,219.139053,0.0136,[M-H]-
HR-5 21 T,221.009157,C10H6O6,221.009161,-0.0189,[M-H]-
HR-5 21 T,221.045547,C11H10O5,221.045547,0.0015,[M-H]-
HR-5 21 T,221.060797,C15H10O2,221.060803,-0.0262,[M-H]-
HR-5 21 T,221.081937,C12H14O4,221.081932,0.0219,[M-H]-
HR-5 21 T,221.118317,C13H18O3,221.118318,-0.003,[M-H]-
HR-5 21 T,221.154697,C14H22O2,221.154703,-0.0278,[M-H]-
HR-5 21 T,222.077198,C11H13NO4,222.077181,0.0735,[M-H]-
HR-5 21 T,223.024808,C10H8O6,223.024812,-0.0148,[M-H]-
HR-5 21 T,223.028358,C7H12O6S,223.028182,0.7886,[M-H]-
HR-5 21 T,223.040068,C14H8O3,223.040068,0.0025,[M-H]-
HR-5 21 T,223.061198,C11H12O5,223.061197,0.0054,[M-H]-
HR-5 21 T,223.076448,C15H12O2,223.076453,-0.0221,[M-H]-
HR-5 21 T,223.097578,C12H16O4,223.097583,-0.0192,[M-H]-
HR-5 21 T,223.133968,C13H20O3,223.133968,0.001,[M-H]-
HR-5 21 T,223.170358,C14H24O2,223.170354,0.0212,[M-H]-
HR-5 21 T,224.092839,C11H15NO4,224.092832,0.0321,[M-H]-
HR-5 21 T,225.007619,C6H10O7S,225.007447,0.7655,[M-H]-
HR-5 21 T,225.040469,C10H10O6,225.040462,0.0336,[M-H]-
HR-5 21 T,225.055719,C14H10O3,225.055718,0.0064,[M-H]-
HR-5 21 T,225.076839,C11H14O5,225.076847,-0.0352,[M-H]-
HR-5 21 T,225.092099,C15H14O2,225.092103,-0.018,[M-H]-
HR-5 21 T,225.113229,C12H18O4,225.113233,-0.0151,[M-H]-
HR-5 21 T,225.149619,C13H22O3,225.149618,0.0049,[M-H]-
HR-5 21 T,225.185999,C14H26O2,225.186004,-0.0195,[M-H]-
HR-5 21 T,227.03498,C13H8O4,227.034982,-0.0096,[M-H]-
HR-5 21 T,227.03834,C10H12O4S,227.038353,-0.0573,[M-H]-
HR-5 21 T,227.05611,C10H12O6,227.056112,-0.0068,[M-H]-
HR-5 21 T,227.07137,C14H12O3,227.071368,0.0102,[M-H]-
HR-5 21 T,227.09249,C11H16O5,227.092497,-0.031,[M-H]-
HR-5 21 T,227.10775,C15H16O2,227.107753,-0.0139,[M-H]-
HR-5 21 T,227.12888,C12H20O4,227.128883,-0.0111,[M-H]-
HR-5 21 T,227.16526,C13H24O3,227.165268,-0.0353,[M-H]-
HR-5 21 T,227.20165,C14H28O2,227.201654,-0.0154,[M-H]-
HR-5 21 T,229.014241,C12H6O5,229.014247,-0.0254,[M-H]-
HR-5 21 T,229.050631,C13H10O4,229.050632,-0.0057,[M-H]-
HR-5 21 T,229.071751,C10H14O6,229.071762,-0.0466,[M-H]-
HR-5 21 T,229.087011,C14H14O3,229.087018,-0.0297,[M-H]-
HR-5 21 T,229.108151,C11H18O5,229.108147,0.0168,[M-H]-
HR-5 21 T,229.123401,C15H18O2,229.123403,-0.01,[M-H]-
HR-5 21 T,229.144531,C12H22O4,229.144533,-0.0072,[M-H]-
HR-5 21 T,229.180911,C13H26O3,229.180918,-0.0311,[M-H]-
HR-5 21 T,230.045892,C12H9NO4,230.045881,0.0443,[M-H]-
HR-5 21 T,230.082262,C13H13NO3,230.082267,-0.023,[M-H]-
HR-5 21 T,231.029892,C12H8O5,231.029897,-0.0213,[M-H]-
HR-5 21 T,231.066282,C13H12O4,231.066282,-0.0018,[M-H]-
HR-5 21 T,231.102662,C14H16O3,231.102668,-0.0256,[M-H]-
HR-5 21 T,231.123792,C11H20O5,231.123797,-0.0228,[M-H]-
HR-5 21 T,231.139052,C15H20O2,231.139053,-0.0061,[M-H]-
HR-5 21 T,231.160162,C12H24O4,231.160183,-0.0898,[M-H]-
HR-5 21 T,232.097912,C13H15NO3,232.097917,-0.019,[M-H]-
HR-5 21 T,233.009143,C11H6O6,233.009161,-0.0796,[M-H]-
HR-5 21 T,233.045543,C12H10O5,233.045547,-0.0173,[M-H]-
HR-5 21 T,233.081933,C13H14O4,233.081932,0.002,[M-H]-
HR-5 21 T,233.118313,C14H18O3,233.118318,-0.0215,[M-H]-
HR-5 21 T,233.154703,C15H22O2,233.154703,-0.0022,[M-H]-
HR-5 21 T,234.077183,C12H13NO4,234.077181,0.0084,[M-H]-
HR-5 21 T,235.024814,C11H8O6,235.024812,0.01,[M-H]-
HR-5 21 T,235.040064,C15H8O3,235.040068,-0.0161,[M-H]-
HR-5 21 T,235.061194,C12H12O5,235.061197,-0.0134,[M-H]-
HR-5 21 T,235.064574,C9H16O5S,235.064568,0.0257,[M-H]-
HR-5 21 T,235.076454,C16H12O2,235.076453,0.0031,[M-H]-
HR-5 21 T,235.097584,C13H16O4,235.097583,0.0058,[M-H]-
HR-5 21 T,235.133964,C14H20O3,235.133968,-0.0175,[M-H]-
HR-5 21 T,235.170354,C15H24O2,235.170354,0.0017,[M-H]-
HR-5 21 T,236.092834,C12H15NO4,236.092832,0.0122,[M-H]-
HR-5 21 T,237.040465,C11H10O6,237.040462,0.0137,[M-H]-
HR-5 21 T,237.055715,C15H10O3,237.055718,-0.0121,[M-H]-
HR-5 21 T,237.076845,C12H14O5,237.076847,-0.0094,[M-H]-
HR-5 21 T,237.080225,C9H18O5S,237.080218,0.0293,[M-H]-
HR-5 21 T,237.092095,C16H14O2,237.092103,-0.0353,[M-H]-
HR-5 21 T,237.113235,C13H18O4,237.113233,0.0096,[M-H]-
HR-5 21 T,237.149615,C14H22O3,237.149618,-0.0135,[M-H]-
HR-5 21 T,237.186005,C15H26O2,237.186004,0.0055,[M-H]-
HR-5 21 T,238.072085,C11H13NO5,238.072096,-0.0451,[M-H]-
HR-5 21 T,238.108475,C12H17NO4,238.108482,-0.0261,[M-H]-
HR-5 21 T,239.019726,C10H8O7,239.019726,-0.0014,[M-H]-
HR-5 21 T,239.034986,C14H8O4,239.034982,0.0148,[M-H]-
HR-5 21 T,239.056106,C11H12O6,239.056112,-0.0244,[M-H]-
HR-5 21 T,239.059666,C8H16O6S,239.059482,0.767,[M-H]-
HR-5 21 T,239.067346,C10H12N2O5,239.067345,0.0033,[M-H]-
HR-5 21 T,239.071366,C15H12O3,239.071368,-0.0082,[M-H]-
HR-5 21 T,239.092496,C12H16O5,239.092497,-0.0055,[M-H]-
HR-5 21 T,239.107746,C16H16O2,239.107753,-0.0311,[M-H]-
HR-5 21 T,239.128876,C13H20O4,239.128883,-0.0285,[M-H]-
HR-5 21 T,239.165256,C14H24O3,239.165268,-0.0514,[M-H]-
HR-5 21 T,239.201656,C15H28O2,239.201654,0.0093,[M-H]-
HR-5 21 T,241.050627,C14H10O4,241.050632,-0.023,[M-H]-
HR-5 21 T,241.053997,C11H14O4S,241.054003,-0.0264,[M-H]-
HR-5 21 T,241.071757,C11H14O6,241.071762,-0.0204,[M-H]-
HR-5 21 T,241.087017,C15H14O3,241.087018,-0.0043,[M-H]-
HR-5 21 T,241.108147,C12H18O5,241.108147,-0.0017,[M-H]-
HR-5 21 T,241.123397,C16H18O2,241.123403,-0.0271,[M-H]-
HR-5 21 T,241.144527,C13H22O4,241.144533,-0.0244,[M-H]-
HR-5 21 T,241.180917,C14H26O3,241.180918,-0.0057,[M-H]-
HR-5 21 T,241.217307,C15H30O2,241.217304,0.013,[M-H]-
HR-5 21 T,242.082257,C14H13NO3,242.082267,-0.0394,[M-H]-
HR-5 21 T,243.029898,C13H8O5,243.029897,0.0035,[M-H]-
HR-5 21 T,243.066288,C14H12O4,243.066282,0.0221,[M-H]-
HR-5 21 T,243.087408,C11H16O6,243.087412,-0.0164,[M-H]-
